,Open,High,Close
73,821.93,826.66,824.32
74,824.71,827.43,823.35
75,825.39,829.35,824.73
76,827.96,828.48,824.67
77,832.4,836.39,827.88
78,835.51,842.45,831.41
79,831.36,835.18,834.57
80,829.22,840.85,838.55
81,828.97,831.64,829.56
82,833.5,833.68,831.5
83,825.0,832.76,831.41
84,820.41,825.99,820.92
85,806.95,821.63,819.51
86,820.08,821.93,814.43
87,821.0,822.57,817.58
88,831.91,835.55,829.59
89,851.4,853.5,830.46
90,850.01,850.22,848.4
91,851.61,853.4,852.12
92,849.03,850.85,848.78
93,847.59,848.63,847.2
94,843.64,847.24,845.62
95,844.0,848.68,845.54
96,843.28,844.91,843.25
97,836.0,842.0,838.68
98,833.51,838.15,835.37
99,827.4,833.41,831.91
100,826.95,828.88,827.78
101,830.56,831.36,829.08
102,833.85,834.51,830.63
103,828.85,836.26,835.24
104,825.61,828.54,823.21
105,824.55,830.5,829.28
106,827.73,829.0,828.64
107,830.12,832.46,831.33
108,828.66,833.25,830.76
109,828.66,833.45,831.66
110,823.02,828.07,828.07
111,819.93,824.4,824.16
112,819.36,823.0,818.98
113,819.0,823.0,820.45
114,816.0,820.96,819.24
115,811.7,815.25,813.67
116,809.51,810.66,809.56
117,807.0,811.84,808.38
118,803.99,810.5,806.97
119,799.7,801.67,801.34
120,802.99,806.0,801.49
121,793.8,802.7,798.53
122,799.68,801.19,795.7
123,796.86,801.25,796.79
124,814.66,815.84,802.32
125,834.71,841.95,823.31
126,837.81,838.0,832.15
127,829.62,835.77,835.67
128,822.3,825.9,823.87
129,807.25,820.87,819.31
130,806.91,806.91,805.02
131,805.12,809.48,802.18
132,805.81,806.2,806.07
133,807.08,807.14,804.61
134,807.48,811.22,807.88
135,807.14,807.39,806.36
136,805.0,808.15,807.91
137,807.86,809.13,804.79
138,806.4,809.97,806.65
139,795.26,807.9,806.15
140,786.08,794.48,794.02
141,788.36,791.34,786.9
142,778.81,789.63,786.14
143,782.75,782.78,771.82
144,783.33,785.93,782.79
145,793.7,794.23,785.05
146,790.68,797.86,791.55
147,790.9,792.74,789.91
148,792.36,793.32,791.26
149,795.84,796.68,794.56
150,796.76,798.65,796.42
151,790.22,797.66,794.2
152,800.4,800.86,790.8
153,797.34,803.0,797.85
154,797.4,804.0,797.07
155,793.9,804.38,796.1
156,785.04,791.25,789.27
157,780.0,789.43,789.29
158,772.48,778.18,776.42
159,761.0,771.36,771.19
160,764.73,768.83,759.11
161,757.71,763.9,762.52
162,744.59,754.0,750.5
163,757.44,759.85,747.92
164,770.07,772.99,758.04
165,771.53,778.5,770.84
166,760.0,779.53,768.24
167,764.26,765.0,761.68
168,767.73,768.28,760.99
169,772.63,776.96,768.27
170,762.61,769.7,769.2
171,771.37,775.0,760.54
172,766.92,772.7,771.23
173,755.2,766.36,764.48
174,746.97,764.42,758.49
175,755.6,757.85,736.08
176,756.54,760.78,754.02
177,791.17,791.17,762.56
178,779.94,791.23,785.31
179,783.4,795.63,790.51
180,774.5,785.19,782.52
181,750.66,770.36,762.02
182,767.25,769.95,762.13
183,778.2,781.65,768.7
184,782.89,789.49,783.61
185,795.47,796.86,784.54
186,808.35,815.49,795.37
187,801.0,803.49,795.35
188,806.34,806.98,799.07
189,816.68,816.68,807.67
190,804.9,815.18,813.11
191,795.0,799.5,799.37
192,803.3,803.97,796.97
193,798.86,804.63,801.56
194,787.85,801.61,795.26
195,779.8,785.85,779.96
196,781.65,783.95,778.53
197,781.22,781.22,778.19
198,783.76,788.13,786.14
199,786.66,792.28,783.07
200,777.71,789.38,785.94
201,779.66,779.66,775.08
202,779.0,780.48,776.86
203,779.31,782.07,776.47
204,776.03,778.71,776.43
205,774.25,776.06,772.56
206,776.33,780.94,777.29
207,781.44,785.8,775.01
208,777.85,781.81,781.56
209,775.5,785.99,783.01
210,782.74,782.74,774.21
211,786.59,788.93,786.9
212,780.0,789.85,787.21
213,772.66,777.16,776.22
214,769.0,773.33,771.41
215,772.42,774.0,765.7
216,769.75,769.75,768.88
217,762.89,773.8,771.76
218,759.61,767.68,762.49
219,764.48,766.22,759.69
220,755.13,770.29,769.02
221,770.1,773.24,759.66
222,778.59,780.35,775.32
223,780.0,782.73,780.35
224,773.45,782.0,780.08
225,773.01,773.92,771.46
226,769.25,771.02,768.78
227,767.01,769.09,767.05
228,769.33,774.47,769.09
229,768.74,774.99,772.15
230,769.0,776.08,769.54
231,767.0,771.89,769.41
232,770.58,774.5,769.64
233,775.48,776.44,772.08
234,773.27,774.54,772.15
235,775.0,777.1,775.42
236,780.01,782.86,777.5
237,777.32,780.81,779.91
238,780.3,780.98,777.14
239,783.75,787.49,782.44
240,781.5,783.4,783.22
241,785.0,789.75,784.85
242,783.75,786.81,784.68
243,781.1,788.94,784.26
244,782.0,782.63,781.76
245,773.78,783.04,782.22
246,772.22,774.07,771.61
247,767.18,773.21,773.18
248,768.69,775.84,771.07
