id,Open,High,Close
156,12.283,12.321,12.215
157,11.959,12.193000000000001,12.075
158,12.2,12.328,12.0
159,13.023,13.023,12.717
160,13.141,13.193999999999999,12.95
161,13.200999999999999,13.212,13.099
162,13.05,13.297,13.129
163,13.174000000000001,13.180000000000001,12.969
164,13.163999999999998,13.225999999999999,13.104
165,13.35,13.35,13.229
166,13.272,13.34,13.328
167,12.978,13.213,13.206999999999999
168,13.007,13.065999999999999,13.0
169,12.874,13.047,13.011000000000001
170,12.868,12.938999999999998,12.857
171,12.819999999999999,12.847,12.754000000000001
172,12.849,12.895,12.788
173,12.821000000000002,12.825,12.782
174,12.901,12.966,12.905000000000001
175,13.023,13.063999999999998,12.888
176,12.968,13.069999999999999,13.024000000000001
177,12.904,12.925,12.899000000000001
178,12.843,12.906,12.874
