,High,Low,Close
504,95.56,93.31,95.29
505,96.61,93.83,94.17
506,97.76,95.88,96.95
507,97.45,94.81,95.44
508,97.58,95.92,97.04
509,99.24,97.14,98.39
510,98.6,95.36,97.91
511,95.39,92.54,94.97
512,90.86,89.77,90.85
513,90.99,89.42,89.76
514,90.8,89.65,89.68
515,90.22,88.42,90.1
516,88.22,86.77,87.95
517,87.6,85.65,85.88
518,86.75,85.44,85.65
519,87.85,85.23,87.22
520,88.18,86.39,87.55
521,87.44,86.34,87.28
522,87.95,86.49,86.91
523,86.7,85.57,85.76
524,87.5,85.73,85.8
525,88.34,86.83,88.01
526,89.4,87.84,87.98
527,89.25,87.45,88.86
528,87.97,84.76,87.88
529,84.97,83.31,84.74
530,82.98,82.12,82.51
531,83.19,81.57,82.9
532,82.22,81.34,81.79
533,81.51,80.45,81.06
534,80.93,80.07,80.71
535,82.09,81.2,81.53
536,82.9,81.36,81.83
537,82.6,80.81,82.16
538,81.19,79.32,80.67
539,82.0,80.13,80.67
540,82.46,81.51,82.14
541,82.95,81.51,82.05
542,82.53,81.25,82.44
543,81.35,79.56,80.44
544,80.38,78.66,80.29
545,80.07,78.88,79.19
546,81.07,80.0,80.14
547,80.66,79.43,80.55
548,80.6,79.08,79.34
549,81.31,80.25,80.54
550,80.92,80.08,80.48
551,81.1,79.46,80.55
552,81.69,80.55,80.63
553,81.38,80.23,80.88
554,81.52,80.18,80.42
555,81.84,78.67,81.37
556,78.53,77.65,78.44
557,77.89,76.79,77.46
558,79.03,77.93,78.01
